2014,Vital statistics of Japan,,
 Volume 1 Population,Table 4-1 Trends in population by sex:Japan， each prefecture -Total-
34 Hiroshima,1804916,2011498,2081967,2149044,2184043,2281146,2422069,2630578,2722521,2820200,2832764,2858462,2855782,2849333,2827820,2817000,2809000,2801000
35 Yamaguchi,1190542,1479244,1540882,1609839,1602207,1543573,1497703,1541072,1572752,1588500,1559181,1542204,1515291,1480129,1439011,1420000,1408000,1397000
36 Tokushima,728748,854811,878511,878109,847274,815115,790845,804784,824433,831400,830753,830479,821369,805743,781300,772000,766000,760000
37 Kagawa,748656,917673,946022,943823,918867,900845,906951,960233,998442,1034000,1021571,1023865,1017973,1006383,988786,982000,979000,974000
38 Ehime,1164898,1453887,1521878,1540628,1500687,1446384,1416299,1463158,1504298,1533600,1512674,1503411,1488550,1461038,1423425,1408000,1398000,1388000
39 Kochi,714980,848337,873874,882683,854595,812714,786058,807035,829609,843400,823853,814302,811516,793365,761239,749000,742000,735000
40 Fukuoka,2755804,3178134,3530169,3859764,4006679,3964611,4004275,4266394,4523770,4753200,4784331,4896451,4984938,5011273,5030961,5044000,5047000,5046000
41 Saga,686117,917797,945082,973749,942874,871885,837063,836326,864052,890700,876300,882320,874068,863046,846146,840000,836000,831000
42 Nagasaki,1296883,1531674,1645492,1747596,1760421,1641245,1566634,1568429,1586916,1599500,1558502,1540498,1511864,1472955,1420166,1402000,1391000,1380000
43 Kumamoto,1387054,1765726,1827582,1895663,1856192,1770736,1697991,1713300,1788076,1836200,1837612,1855087,1854933,1835575,1809626,1799000,1793000,1785000
44 Oita,980458,1233651,1252999,1277199,1239655,1187480,1152520,1187299,1225548,1246300,1233612,1227269,1216436,1202682,1187599,1178000,1170000,1163000
45 Miyazaki,824431,1025689,1091427,1139384,1134590,1080692,1050027,1083957,1150321,1183500,1167286,1173631,1167555,1149818,1131381,1122000,1116000,1110000
46 Kagoshima,1591466,1746305,1804118,2044112,1963104,1853541,1728075,1722732,1783351,1833600,1795908,1791419,1782567,1748272,1700683,1684000,1674000,1662000
47 Okinawa,592494,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,　　　　　 …,1036288,1101062,1177000,1217472,1265783,1311482,1354695,1385104,1401000,1407000,1411000
